chat_history,question
[],Ariel was playing basketball. 1 of her shots went in the hoop. 2 of her shots did not go in the hoop. How many shots were there in total?
[],Adrianna has 10 pieces of gum to share with her friends. There wasn�t enough gum for all her friends; so she went to the store to get 3 more pieces of gum. How many pieces of gum does Adrianna have now?
[],Adrianna has 10 pieces of gum to share with her friends. There wasn�t enough gum for all her friends; so she went to the store and got 70 pieces of strawberry gum and 10 pieces of bubble gum. How many pieces of gum does Adrianna have now?
[],The restaurant has 175 normal chairs and 20 chairs for babies. How many chairs does the restaurant have in total?
[],How many cookies did you sell if you sold 320 chocolate cookies and 270 vanilla cookies?
[],The hobby store normally sells 10;576 trading cards per month. In June; the hobby store sold 15;498 more trading cards than normal. In total; how many trading cards did the hobby store sell in June?
[],Billy had 2 books at home. He went to the library to take out 2 more books. He then bought 1 book. How many books does Billy have now?
[],Ashley bought a big bag of candy. The bag had 102 blue candies; 100 red candies and 94 green candies. How many candies were there in total?
[],There were 3 pizzas in total at the pizza shop. A customer bought 1 pizza. How many pizzas are left?
[],Your friend said she had 11 stickers. When you helped her clean her desk; she only had a total of 10 stickers. How many stickers are missing?
[],Adrianna has 100 pieces of gum to share with her friends. When she went to the park; she shared 10 pieces of strawberry gum. When she left the park; Adrianna shared another 10 pieces of bubble gum. How many pieces of gum does Adrianna have now?
[],Your team scored a total of 123 points. 67 points were scored in the first half. How many were scored in the second half?
[],Nathan has a big ant farm. He decided to sell some of his ants. He started with 965 ants. He sold 213. How many ants does he have now?
[],The hobby store normally sells 10;576 trading cards per month. In July; the hobby store sold a total of 20;777 trading cards. How many more trading cards did the hobby store sell in July compared with a normal month?
[],Charlene had a pack of 35 pencil crayons. She gave 6 to her friend Theresa. She gave 3 to her friend Mandy. How many pencil crayons does Charlene have left?
[],Ashley bought a big bag of candy to share with her friends. In total; there were 296 candies. She gave 105 candies to Marissa. She also gave 86 candies to Kayla. How many candies were left
[],Adrianna needs to cut a pan of brownies into pieces. She cuts 6 even columns and 3 even rows into the pan. How many brownies does she have?
[],A movie theatre has 25 rows of seats with 20 seats in each row. How many seats are there in total?
[],A clothing company has 4 different kinds of sweatshirts. Each year; the company makes 60;000 of each kind of sweatshirt. How many sweatshirts does the company make each year?
[],A bricklayer stacks bricks in 2 rows; with 10 bricks in each row. On top of each row; there is a stack of 6 bricks. How many bricks are there in total?
[],Cayley earns $5 an hour by delivering newspapers. She delivers newspapers 3 days each week; for 4 hours at a time. After delivering newspapers for 8 weeks; how much money will Cayley earn?
[],If you have 4 pieces of candy split evenly into 2 bags; how many pieces of candy are in each bag?
[],If you have 80 tickets for the fair and each ride costs 5 tickets; how many rides can you go on?
[],The school has $20;000 to buy new computer equipment. If each piece of equipment costs $50; how many pieces can the school buy in total?
[],Melissa buys 2 packs of tennis balls for $12 in total. All together; there are 6 tennis balls. How much does 1 pack of tennis balls cost? How much does 1 tennis ball cost?
[],An Italian restaurant receives a shipment of 86 veal cutlets. If it takes 3 cutlets to make a dish; how many cutlets will the restaurant have left over after making as many dishes as possible?
[],There are 235 books in a library. On Monday; 123 books are taken out. On Tuesday; 56 books are brought back. How many books are there now?
[],There is a group of 10 people who are ordering pizza. If each person gets 2 slices and each pizza has 4 slices; how many pizzas should they order?
[],Lana has 2 bags with 2 marbles in each bag. Markus has 2 bags with 3 marbles in each bag. How many more marbles does Markus have?
[],Lana has 3 bags with the same amount of marbles in them; totaling 12 marbles. Markus has 3 bags with the same amount of marbles in them; totaling 18 marbles. How many more marbles does Markus have in each bag?
[],There are 2 chalkboards in your classroom. If each chalkboard needs 2 pieces of chalk; how many pieces do you need in total?
[],There are 3 chalkboards in your classroom. Each chalkboard has 2 pieces of chalk. This means there are 6 pieces of chalk in total. If you take 1 piece of chalk away from each chalkboard; how many will there be in total?
[],What number is 6 tens and 10 ones?
[],I have a 7 in the tens place. I have an even number in the ones place. I am lower than 74. What number am I?
[],In the hockey game; Mitchell scored more points than William but fewer points than Auston. Who scored the most points? Who scored the fewest points?
[],Julia went to 10 houses on her street for Halloween. 5 of the houses gave her a chocolate bar. What fraction of houses on Julia�s street gave her a chocolate bar?
[],Heather is painting a portrait of her best friend; Lisa. To make it easier; she divides the portrait into 6 equal parts. What fraction represents each part of the portrait?
[],Noah walks ? of a kilometre to school each day. He also walks ? of a kilometre to get home after school. How many kilometres does he walk in total?
[],Last week; Whitney counted the number of juice boxes she had for school lunches. She had ? of a case. This week; it�s down to ? of a case. How much of the case did Whitney drink?
[],At lunchtime; an ice cream parlor served 6 � scoops of chocolate ice cream; 5 � scoops of vanilla and 2 � scoops of strawberry. How many scoops of ice cream did the parlor serve in total?
[],For a party; Jaime had 5 ? bottles of cola for her friends to drink. She drank ? of a bottle herself. Her friends drank 3 ?. How many bottles of cola does Jaime have left?
[],Kevin completed � of an assignment at school. When he was home that evening; he completed ? of another assignment. How many assignments did Kevin complete?
[],Packing school lunches for her kids; Patty used ? of a package of ham. She also used � of a package of turkey. How much more ham than turkey did Patty use?
[],During gym class on Wednesday; the students ran for � of a kilometre. On Thursday; they ran � as many kilometres as on Wednesday. How many kilometres did the students run on Thursday? Write your answer as a fraction.
[],A clothing manufacturer uses ? of a bottle of colour dye to make one pair of pants. The manufacturer used ? of a bottle yesterday. How many pairs of pants did the manufacturer make?
[],Mark drank ? of a carton of milk this week. Frank drank 7 times more milk than Mark. How many cartons of milk did Frank drink? Write your answer as a fraction; or as a whole or mixed number.
[],You have 2.6 grams of yogurt in your bowl and you add another spoonful of 1.3 grams. How much yogurt do you have in total?
[],Gemma had 25.75 grams of frosting to make a cake. She decided to use only 15.5 grams of the frosting. How much frosting does Gemma have left?
[],Marshall walks a total of 0.9 kilometres to and from school each day. After 4 days; how many kilometres will he have walked?
[],To make the Leaning Tower of Pisa from spaghetti; Mrs. Robinson bought 2.5 kilograms of spaghetti. Her students were able to make 10 leaning towers in total. How many kilograms of spaghetti does it take to make 1 leaning tower?
[],Rocco has 1.5 litres of orange soda and 2.25 litres of grape soda in his fridge. Antonio has 1.15 litres of orange soda and 0.62 litres of grape soda. How much more soda does Rocco have than Angelo?
[],4 days a week; Laura practices martial arts for 1.5 hours. Considering a week is 7 days; what is her average practice time per day each week?
[],You have 3 apples and your friend has 5 apples. Who has more?
[],You have 50 candies and your friend has 75 candies. Who has more?
[],There are 5 basketballs on the playground. There are 7 footballs on the playground. Are there more basketballs or footballs?
[],Erik has 0 stickers. Every day he gets 1 more sticker. How many days until he gets 3 stickers?
[],Natalie began at 5. She skip-counted by fives. Could she have said the number 20?
[],Natasha began at 0. She skip-counted by eights. Could she have said the number 36?
[],Each month; Jeremy adds the same number of cards to his baseball card collection. In January; he had 36. 48 in February. 60 in March. How many baseball cards will Jeremy have in April?
[],Jeremy helped his mom for 1 hour. For how many minutes was he helping her?
[],If you wake up at 7:00 a.m. and it takes you 1 hour and 30 minutes to get ready and walk to school; at what time will you get to school?
[],If a train departs at 2:00 p.m. and arrives at 4:00 p.m.; how long were passengers on the train for?
[],Rebecca left her dad�s store to go home at twenty to seven in the evening. Forty minutes later; she was home. What time was it when she arrived home?
[],Thomas and Matthew are saving up money to buy a video game together. Thomas has saved $30. Matthew has saved $35. How much money have they saved up together in total?
[],Thomas has $80 saved up. He uses his money to buy a video game. The video game costs $67. How much money does he have left?
[],Tim gets $5 for delivering the paper. How much money will he have after delivering the paper 3 times?
[],Robert spent $184.59 to buy 3 hockey sticks. If each hockey stick was the same price; how much did 1 cost?
[],You went to the store and bought gum for $1.25 and a sucker for $0.50. How much was your total?
[],You went to the store with $5.50. You bought gum for $1.25; a chocolate bar for $1.15 and a sucker for $0.50. How much money do you have left?
[],Jakob wants to invite 20 friends to his birthday; which will cost his parents $250. If he decides to invite 15 friends instead; how much money will it cost his parents? Assume the relationship is directly proportional.
[],Retta put $100.00 in a bank account that gains 20% interest annually. How much interest will be accumulated in 1 year? And if she makes no withdrawals; how much money will be in the account after 1 year?
[],Cassandra�s ruler is 22 centimetres long. April�s ruler is 30 centimetres long. How many centimetres longer is April�s ruler?
[],Picture a school bus. Which unit of measurement would best describe the length of the bus? Centimetres; metres or kilometres?
[],Micha�s dad wants to try to save money on gas; so he has been tracking how much he uses. Last year; Micha�s dad used 100 litres of gas. This year; her dad used 90 litres of gas. How much gas did he use in total for the two years?
[],Micha�s dad wants to try to save money on gas; so he has been tracking how much he uses. Over the past two years; Micha�s dad used 200 litres of gas. This year; he used 100 litres of gas. How much gas did he use last year?
[],Kiera wants to make sure she has strong bones; so she drinks 2 litres of milk every week. After 3 weeks; how many litres of milk will Kiera drink?
[],Lillian is doing some gardening; so she bought 1 kilogram of soil. She wants to spread the soil evenly between her 2 plants. How much will each plant get?
[],Inger goes to the grocery store and buys 3 squashes that each weigh 500 grams. How many kilograms of squash did Inger buy?
[],Shad has a lemonade stand and sold 20 cups of lemonade. Each cup was 500 millilitres. How many litres did Shad sell in total?
[],Stacy and Milda are comparing their heights. Stacy is 1.5 meters tall. Milda is 10 centimetres taller than Stacy. What is Milda�s height in centimetres?
[],A bus leaves the school to take students on a field trip. The bus travels 10 kilometres south; 10 kilometres west; another 5 kilometres south and 15 kilometres north. To return to the school; in which direction does the bus have to travel? How many kilometres must it travel in that direction?
[],The ratio of Jenny�s trophies to Meredith�s trophies is 7:4. Jenny has 28 trophies. How many does Meredith have?
[],The ratio of Jenny�s trophies to Meredith�s trophies is 7:4. The difference between the numbers is 12. What are the numbers?
[],The school�s junior band has 10 saxophone players and 20 trumpet players. The school�s senior band has 18 saxophone players and 29 trumpet players. Which band has the higher ratio of trumpet to saxophone players?
[],Mary surveyed students in her school to find out what their favourite sports were. Out of 1;200 students; 455 said hockey was their favourite sport. What percentage of students said hockey was their favourite sport?
[],A decade ago; Oakville�s population was 67;624 people. Now; it is 190% larger. What is Oakville�s current population?
[],At the ice skate rental stand; 60% of 120 skates are for boys. If the rest of the skates are for girls; how many are there?
[],For 4 weeks; William volunteered as a helper for swimming classes. The first week; he volunteered for 8 hours. He volunteered for 12 hours in the second week; and another 12 hours in the third week. The fourth week; he volunteered for 9 hours. For how many hours did he volunteer per week; on average?
[],John wants to know his class�s favourite TV show; so he surveys all of the boys. Will the sample be representative or biased?
[],The faces on a fair number die are labelled 1; 2; 3; 4; 5 and 6. You roll the die 12 times. How many times should you expect to roll a 1?
[],The numbers 1 to 50 are in a hat. If the probability of drawing an even number is 25/50; what is the probability of NOT drawing an even number? Express this probability as a fraction.
[],A pizza shop has recently sold 15 pizzas. 5 of those pizzas were pepperoni. Answering with a fraction; what is the experimental probability that he next pizza will be pepperoni?
[],Maurita and Felice each take 4 tests. Here are the results of Maurita�s 4 tests: 4; 4; 4; 4. Here are the results for 3 of Felice�s 4 tests: 3; 3; 3. If Maurita�s mean for the 4 tests is 1 point higher than Felice�s; what�s the score of Felice�s 4th test?
[],Store A is selling 7 pounds of bananas for $7.00. Store B is selling 3 pounds of bananas for $6.00. Which store has the better deal?
[],Lionel loves soccer; but has trouble motivating himself to practice. So; he incentivizes himself through video games. There is a proportional relationship between the amount of drills Lionel completes; in x; and for how many hours he plays video games; in y. When Lionel completes 10 drills; he plays video games for 30 minutes. Write the equation for the relationship between x and y.
[],The theatre has 4 chairs in a row. There are 5 rows. Using rows as your unit of measurement; what is the perimeter?
[],The theatre has 4 chairs in a row. There are 5 rows. How many chairs are there in total?
[],Aaron wants to know how much candy his container can hold. The container is 20 centimetres tall; 10 centimetres long and 10 centimetres wide. What is the container�s volume?
[],Kevin draws a shape with 4 equal sides. What shape did he draw?
[],Mitchell wrote his homework questions on a piece of square paper. Each side of the paper is 8 centimetres. What is the perimeter?
[],A single trading card is 9 centimetres long by 6 centimetres wide. What is its area?
[],Martha draws a shape that has 6 square faces. What shape did she draw?
[],What is the surface area of a cube that has a width of 2cm; height of 2 cm and length of 2 cm?
[],The theatre has 4 chairs in a row. There are 5 rows. Using rows as your unit of measurement; what is the perimeter?
[],The theatre has 4 chairs in a row. There are 5 rows. How many chairs are there in total?
[],Aaron wants to know how much candy his container can hold. The container is 20 centimetres tall; 10 centimetres long and 10 centimetres wide. What is the container�s volume?
[],Kevin draws a shape with 4 equal sides. What shape did he draw?
[],Mitchell wrote his homework questions on a piece of square paper. Each side of the paper is 8 centimetres. What is the perimeter?
[],A single trading card is 9 centimetres long by 6 centimetres wide. What is its area?
[],Martha draws a shape that has 6 square faces. What shape did she draw?
[],What is the surface area of a cube that has a width of 2cm; height of 2 cm and length of 2 cm?
[],Aaron�s candy container is 20 centimetres tall; 10 centimetres long and 10 centimetres wide. Bruce�s container is 25 centimetres tall; 9 centimetres long and 9 centimetres wide. Find the volume of each container. Based on volume; whose container can hold more candy?
[],A triangle has the following side lengths: 3 cm; 4 cm and 5 cm. Is this triangle a right-angled triangle?
[],A triangle has the following side lengths: 4 cm; 4 cm and 4 cm. What kind of triangle is it?
[],A triangle has the following side lengths: 4 cm; 5 cm and 5 cm. What kind of triangle is it?
[],A triangle has the following side lengths: 4 cm; 5 cm and 6 cm. What kind of triangle is it?
[],Luigi built a tent in the shape of an equilateral triangle. The perimeter is 21 metres. What is the length of each of the tent�s sides?
[],What is the area of a triangle with a base of 2 units and a height of 3 units?
[],A right triangle has one non-hypotenuse side length of 3 inches and the hypotenuse measures 5 inches. What is the length of the other non-hypotenuse side?
[],Jasmin bought a new round backpack. Its area is 370 square centimetres. What is the round backpack�s diameter?
[],Captain America�s circular shield has a diameter of 76.2 centimetres. What is the area of his shield?
[],Skylar lives on a farm; where his dad keeps a circular corn maze. The corn maze has a diameter of 2 kilometres. What is the maze�s radius?
[],Victoria is baking muffins for her class. The number of muffins she makes is based on how many classmates she has. For this equation; m is the number of muffins and c is the number of classmates. Which variable is independent and which variable is dependent?
[],Last soccer season; Trish scored g goals. Alexa scored 4 more goals than Trish. Write an expression that shows how many goals Alexa scored.
[],Elizabeth eats a healthy; balanced breakfast b times a week. Madison sometimes skips breakfast. In total; Madison eats 3 fewer breakfasts a week than Elizabeth. Write an expression that shows how many times a week Madison eats breakfast.
[],Last hockey season; Jack scored g goals. Patrik scored twice as many goals than Jack. Write an expression that shows how many goals Patrik scored.
[],Amanda has c chocolate bars. She wants to distribute the chocolate bars evenly among 3 friends. Write an expression that shows how many chocolate bars 1 of her friends will receive.
[],This equation shows how the amount Lucas earns from his after-school job depends on how many hours he works:e = 12h. The variable h represents how many hours he works. The variable e represents how much money he earns. How much money will Lucas earn after working for 6 hours?
